Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-12,49.282,49.946,49.273,49.525,11746489
2020-10-13,49.427,49.427,48.371,48.681,14819441
2020-10-14,48.517,48.942,48.129,48.583,10917507
2020-10-15,47.886,48.593,47.788,48.458,10278169
2020-10-16,48.458,48.807,48.342,48.497,13999921
2020-10-19,48.497,48.934,47.944,48.1,10244386
2020-10-20,48.361,49.068,48.265,48.709,11319627
2020-10-21,48.429,48.885,48.245,48.458,12913141
2020-10-22,49.602,49.631,48.835,49.127,20827494
2020-10-23,49.437,49.612,48.919,48.971,13917781
2020-10-26,48.798,48.961,47.692,48.275,15161012
2020-10-27,48.283,48.744,48.034,48.371,14331299
2020-10-28,47.499,47.643,46.315,46.49,20514842
2020-10-29,46.268,46.989,45.851,46.549,15855784
2020-10-30,46.344,46.647,45.913,46.586,16304667
2020-11-02,47.256,47.45,46.762,47.13,15635300
2020-11-03,47.712,48.429,47.499,47.838,15768314
2020-11-04,47.914,48.671,47.576,47.662,13339617
2020-11-05,48.235,48.671,47.828,47.924,12846108
2020-11-06,48.129,48.458,47.742,47.934,9588755
2020-11-09,50.892,51.628,50.475,50.958,34499196
2020-11-10,50.958,52.617,50.842,52.326,30645822
2020-11-11,52.276,52.636,51.696,51.938,17950009
2020-11-12,51.424,51.579,50.993,51.386,15502028
2020-11-13,51.618,51.861,51.27,51.812,12843024
2020-11-16,52.83,52.946,51.647,52.2,15379492
2020-11-17,52.015,52.103,51.4,52.034,14698814
2020-11-18,52.103,52.365,50.949,50.998,15761216
2020-11-19,50.882,51.599,50.359,51.502,17732984
2020-11-20,51.56,51.618,50.978,51.056,16142619
2020-11-23,51.327,51.541,50.6,51.066,13611134
2020-11-24,51.512,51.948,51.396,51.589,14273794
2020-11-25,51.443,51.647,51.173,51.307,10517058
2020-11-27,51.482,51.56,50.998,51.084,8767988
2020-11-30,50.89,50.987,49.902,50.411,44222693
2020-12-01,50.939,51.124,50.592,50.84,19416798
2020-12-02,50.704,50.929,50.445,50.91,15264848
2020-12-03,50.704,51.72,50.704,51.564,17727403
2020-12-04,51.564,52.628,51.544,52.609,18549878
2020-12-07,52.521,52.54,51.485,51.769,16591246
2020-12-08,51.72,52.248,51.569,51.955,12779296
2020-12-09,52.139,52.365,51.778,52.101,11779925
2020-12-10,52.169,52.276,51.759,51.828,12382697
2020-12-11,51.583,52.306,51.564,52.121,10889039
2020-12-14,52.413,52.6,51.955,52.042,22817865
2020-12-15,52.55,52.97,52.36,52.6,16576490
2020-12-16,52.365,52.56,51.72,51.837,16049506
2020-12-17,52.072,52.473,51.925,52.042,12976368
2020-12-18,51.857,52.6,51.408,52.501,36317044
2020-12-21,51.466,51.778,50.782,51.593,15278697
2020-12-22,51.593,51.955,51.183,51.544,9920196
2020-12-23,51.73,52.155,51.72,51.857,7206706
2020-12-24,51.798,52.316,51.798,52.209,3342561
2020-12-28,52.609,53.181,52.491,52.912,9233261
2020-12-29,53.196,53.234,52.775,52.883,8516870
2020-12-30,52.804,53.371,52.785,53.186,8334824
2020-12-31,53.196,53.665,53.019,53.576,8695355
2021-01-04,53.019,53.371,50.831,51.544,26215231
2021-01-05,51.124,51.408,50.831,50.977,20803229
2021-01-06,50.773,50.821,49.032,49.356,39637968
2021-01-07,48.936,49.096,48.379,48.809,54481212
2021-01-08,48.877,49.947,48.692,49.902,30373915
2021-01-11,49.454,49.688,48.8,49.044,19766088
2021-01-12,48.887,49.208,48.613,48.955,18975962
2021-01-13,48.827,49.199,48.803,49.004,19309124
2021-01-14,49.004,49.024,48.086,48.096,35112747
2021-01-15,48.022,48.046,47.411,47.578,24941564
2021-01-19,47.617,47.909,47.128,47.392,29801231
2021-01-20,47.421,47.695,47.197,47.558,23661062
2021-01-21,47.655,47.959,47.344,47.822,20172060
2021-01-22,47.685,47.812,47.372,47.372,15763618
2021-01-25,47.304,47.715,47.128,47.655,16995881
2021-01-26,47.782,48.262,47.49,48.154,13227451
2021-01-27,47.763,48.183,47.118,47.411,21743488
2021-01-28,47.568,48.359,47.49,48.017,17911638
2021-01-29,47.899,47.989,47.001,47.041,19110659
2021-02-01,47.158,47.568,47.07,47.363,12471001
2021-02-02,47.675,48.213,47.509,47.832,13633942
2021-02-03,47.822,47.957,47.548,47.645,12563643
2021-02-04,47.832,47.939,47.528,47.881,21083274
2021-02-05,48.359,48.633,48.135,48.506,13042596
2021-02-08,48.809,49.014,48.349,48.77,18253879
2021-02-09,48.701,48.867,48.486,48.555,14937148
2021-02-10,49.248,49.414,48.389,48.457,23507151
2021-02-11,48.663,49.424,48.653,49.141,22445843
2021-02-12,49.405,49.676,49.228,49.522,13446941
2021-02-16,49.454,49.551,49.004,49.111,15449436
2021-02-17,48.847,49.322,48.735,48.974,13112688
2021-02-18,49.004,49.673,48.879,49.6,13050589
2021-02-19,49.62,49.653,48.819,48.955,16345448
2021-02-22,48.701,49.708,48.526,49.463,14709866
2021-02-23,49.825,50.323,49.258,49.375,16604908
2021-02-24,49.228,49.727,48.974,49.541,14782663
2021-02-25,49.307,49.576,48.827,49.014,14546307
2021-02-26,49.044,49.054,47.842,47.862,24195944
2021-03-01,48.3,49.278,48.262,48.75,14232853
2021-03-02,48.692,49.395,48.555,48.945,12032417
2021-03-03,48.574,49.395,48.564,48.827,15774180
2021-03-04,49.151,49.912,48.476,48.79,22556225
2021-03-05,48.897,49.775,48.75,49.62,21813446
2021-03-08,50.284,51.281,49.982,50.45,25676583
2021-03-09,50.528,50.684,49.648,49.688,23627165
2021-03-10,50.001,50.44,49.546,50.254,21834768
2021-03-11,50.226,50.245,49.639,49.708,17828508
2021-03-12,49.836,49.923,49.452,49.609,17865019
2021-03-15,49.747,50.358,49.718,50.269,13617154
2021-03-16,50.436,50.752,50.279,50.456,14429376
2021-03-17,50.486,50.85,50.387,50.476,17767626
2021-03-18,50.298,50.426,49.732,49.816,18279919
2021-03-19,49.708,50.318,49.422,50.052,68872832
2021-03-22,49.57,50.318,49.57,50.24,18182552
2021-03-23,50.23,50.88,50.067,50.624,17193097
