Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-03-04,2785,2795,2781,2795,12882
2015-03-05,2807,2815,2807,2813,5672
2015-03-06,2814,2826,2814,2815,27150
2015-03-09,2797,2803,2791,2798,19459
2015-03-10,2793,2793,2760,2760,5899
2015-03-11,2769,2787,2767,2784,17176
2015-03-12,2789,2819,2788,2815,13222
2015-03-13,2827,2834,2818,2819,70978
2015-03-16,2832,2855,2832,2851,48879
2015-03-17,2851,2859,2851,2859,10684
2015-03-18,2861,2878,2861,2870,31011
2015-03-19,2868,2888,2868,2887,7905
2015-03-20,2900,2900,2891,2891,9819
2015-03-23,2896,2903,2887,2892,58064
2015-03-24,2900,2913,2899,2910,68543
2015-03-25,2901,2902,2870,2870,24554
2015-03-26,2839,2859,2822,2857,25238
2015-03-27,2855,2864,2839.66,2846,92389
2015-03-30,2871,2887,2870.66,2887,67582
2015-03-31,2882.88,2886,2860,2865,102790
2015-04-01,2838.34,2872.56,2838,2856.86,134097
2015-04-02,2851.56,2877.56,2851.56,2869,10376
2015-04-07,2888.26,2900,2883.56,2900,33264
2015-04-08,2892.9,2893.56,2876,2881,43266
2015-04-09,2894,2918,2894,2915,24701
2015-04-10,2935.12,2958,2934.44,2958,13799
2015-04-13,2960.56,2962,2951.56,2956,14563
2015-04-14,2948,2956.34,2916.34,2927,10682
2015-04-15,2930.02,2946.34,2930,2939,12391
2015-04-16,2930.56,2933.56,2909.34,2916,14984
2015-04-17,2912.78,2912.78,2870.34,2879,34014
2015-04-20,2929,2929,2888.34,2907,30149
2015-04-21,2924.34,2924.34,2908,2910,61972
2015-04-22,2914,2914,2878,2890,184733
2015-04-23,2908,2908,2883,2893.58,218699
2015-04-24,2900.44,2903,2891,2891,122217
2015-04-27,2891.34,2909.44,2884.22,2896.72,77457
2015-04-28,2879.56,2882,2843,2861,120770
2015-04-29,2861,2861.9,2828,2828,91056
2015-04-30,2820.56,2835.12,2811,2833,255719
2015-05-01,2833,2872.52,2814.06,2872.52,18618
2015-05-05,2908,2908,2849.58,2852,233953
