Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-12,34.958,35.416,34.736,35.073,19336764
2020-10-13,34.93,35.364,34.892,35.148,21457627
2020-10-14,35.254,35.53,34.835,35.111,22036772
2020-10-15,34.892,34.997,34.682,34.816,16033287
2020-10-16,35.311,36.311,35.263,36.15,42822711
2020-10-19,36.598,37.004,35.853,36.006,31804492
2020-10-20,36.073,36.091,35.578,35.712,22295952
2020-10-21,35.583,35.673,35.301,35.321,18909504
2020-10-22,35.321,35.788,35.273,35.653,19167201
2020-10-23,36.131,36.468,35.86,36.368,30436539
2020-10-26,36.073,36.216,35.702,36.121,33648945
2020-10-27,35.282,36.311,35.121,35.653,36705190
2020-10-28,35.053,35.368,33.645,33.767,33723025
2020-10-29,33.796,33.948,32.958,33.606,27435940
2020-10-30,33.567,33.849,33.187,33.796,25546983
2020-11-02,34.225,34.531,33.853,34.511,21345516
2020-11-03,34.701,34.882,34.368,34.472,21550657
2020-11-04,35.301,36.311,35.206,35.558,40708212
2020-11-05,35.846,35.896,35.02,35.02,33448260
2020-11-06,35.02,35.338,34.732,35.03,23533860
2020-11-09,40.284,40.409,36.936,37.724,226906239
2020-11-10,38.927,39.015,37.012,37.224,78961542
2020-11-11,37.417,38.686,36.473,37.05,58148717
2020-11-12,36.839,36.896,35.838,36.137,46160127
2020-11-13,36.443,37.199,36.285,37.165,39751732
2020-11-16,36.435,36.521,35.462,35.925,74464326
2020-11-17,35.115,35.126,34.471,34.683,48822868
2020-11-18,35.54,36.011,34.933,34.952,65925010
2020-11-19,35.222,35.251,34.51,34.828,44954540
2020-11-20,35.318,35.905,35.068,35.318,63006275
2020-11-23,35.635,35.694,34.846,35.145,45381922
2020-11-24,34.769,35.357,34.663,35.222,44147589
2020-11-25,35.154,35.184,34.875,35.154,28010498
2020-11-27,35.395,35.856,35.367,35.829,26265972
2020-11-30,36.521,37.338,36.183,36.867,67985804
2020-12-01,37.917,38.975,37.54,37.926,75503825
2020-12-02,38.945,39.85,38.783,39.263,87647754
2020-12-03,39.437,39.484,38.033,38.581,71253004
2020-12-04,38.388,38.927,38.388,38.821,36751986
2020-12-07,39.129,39.84,38.85,39.697,49885008
2020-12-08,39.84,41.16,39.793,40.957,90040486
2020-12-09,41.447,41.457,39.581,40.274,89234377
2020-12-10,40.245,40.63,39.885,40.158,59992254
2020-12-11,40.389,40.486,39.157,39.571,63113491
2020-12-14,40.052,40.092,37.599,37.734,98519379
2020-12-15,37.59,37.705,36.771,37.252,68585787
2020-12-16,36.741,37.022,36.319,36.415,58726547
2020-12-17,36.405,36.685,35.905,36.599,54072426
2020-12-18,36.559,36.655,36.087,36.262,62616944
2020-12-21,35.876,35.992,35.52,35.972,42491817
2020-12-22,35.81,35.925,35.227,35.357,35438290
2020-12-23,35.617,36.233,35.491,36.031,37597686
2020-12-24,35.992,36.156,35.78,35.866,15368831
2020-12-28,35.953,36.166,35.298,35.434,28049870
2020-12-29,35.511,35.8,35.405,35.654,24057945
2020-12-30,35.635,35.838,35.318,35.357,25863715
2020-12-31,35.279,35.53,34.923,35.424,32001495
2021-01-04,35.482,35.548,34.905,35.424,34879012
2021-01-05,35.338,35.962,35.222,35.79,31079649
2021-01-06,35.444,36.068,35.385,35.482,36330491
2021-01-07,35.644,35.75,35.289,35.664,28897586
2021-01-08,35.76,36.112,35.511,35.732,34771657
2021-01-11,35.819,36.405,35.745,36.348,49178340
2021-01-12,36.281,36.363,35.434,35.78,49702570
2021-01-13,35.607,35.77,35.26,35.472,32241900
2021-01-14,35.395,35.568,35.232,35.367,31456448
2021-01-15,35.298,35.395,35.03,35.318,35629400
2021-01-19,35.375,35.607,35.242,35.347,34760127
2021-01-20,35.405,35.424,35.087,35.126,36785159
2021-01-21,35.02,35.212,34.789,35.106,35189110
2021-01-22,34.952,35.444,34.885,35.174,27299078
2021-01-25,35.174,35.886,34.952,35.876,32969898
2021-01-26,35.866,36.183,35.76,35.905,28803249
2021-01-27,35.598,35.644,34.808,34.875,52539493
2021-01-28,34.972,35.343,34.865,34.885,40569586
2021-01-29,35.877,35.877,34.651,34.924,61935565
2021-02-01,34.953,35.206,34.749,34.827,41524645
2021-02-02,34.788,34.807,33.338,34.039,86411522
2021-02-03,34.039,34.33,33.835,33.892,39600771
2021-02-04,33.864,34.126,33.757,33.942,35242977
2021-02-05,33.971,34.126,33.835,33.971,32636819
2021-02-08,34.009,34.062,33.795,33.874,32517892
2021-02-09,33.854,34.107,33.815,34.019,31013266
2021-02-10,34.048,34.126,33.757,33.795,29851359
2021-02-11,33.854,33.864,33.348,33.494,31748234
2021-02-12,33.504,34,33.427,33.776,26293428
2021-02-16,33.902,33.912,33.621,33.748,29533195
2021-02-17,33.631,34.046,33.524,33.942,27241639
2021-02-18,33.835,33.928,33.581,33.621,24724654
2021-02-19,33.718,33.738,33.464,33.504,28931767
2021-02-22,33.397,33.436,33.114,33.328,35281611
