Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-12,140.83,143.17,140.83,142.04,6229395
2020-10-13,142.47,144.36,142.15,143.99,8056632
2020-10-14,144.16,144.28,141.56,141.74,6676186
2020-10-15,140.9,142.74,140.66,142.32,4639410
2020-10-16,143.18,143.91,142.26,142.5,5735028
2020-10-19,142.88,143.15,140.57,140.77,4956859
2020-10-20,141.91,143.31,141.43,141.7,4918412
2020-10-21,141.64,143.5,141.64,142.19,4439302
2020-10-22,141.98,142.35,140.51,141.36,4520697
2020-10-23,141.77,141.94,140.67,141.65,3568043
2020-10-26,140.66,140.93,138.79,139.98,5453987
2020-10-27,139.88,141.5,139.8,140.69,4004885
2020-10-28,138.81,139.95,137.74,137.9,5703649
2020-10-29,137.86,138.96,136.58,137.78,5129781
2020-10-30,137.05,137.95,135.27,136.63,6299049
2020-11-02,138.44,138.66,136.9,138.26,5611008
2020-11-03,139.48,141.95,139.4,140.6,5217516
2020-11-04,139.4,142.18,139.17,139.79,6068615
2020-11-05,141.8,142.02,140.76,141.28,4807744
2020-11-06,142.15,143.98,141.36,143.54,5483326
2020-11-09,145.74,145.93,141.29,141.35,9545471
2020-11-10,141.55,144.19,141.34,143.34,6160639
2020-11-11,144.67,146.67,144.16,145.72,6365940
2020-11-12,146.2,146.43,144.85,145.96,4257426
2020-11-13,146.66,148.62,145.27,148.24,6706376
2020-11-16,148.23,151.04,147,150.11,11699012
2020-11-17,148.2,150.91,146.9,147.09,14458277
2020-11-18,147.57,149.35,146.77,146.81,8441355
2020-11-19,147.18,150.12,147.04,149.8,6293088
2020-11-20,148.85,150.43,147.52,147.95,7434527
2020-11-23,148.08,149.08,147.09,148.61,6281761
2020-11-24,149.42,149.66,147.98,149.04,5811783
2020-11-25,148.93,150.06,148.89,149.51,4682705
2020-11-27,149.83,150.39,148.78,149.28,3723457
2020-11-30,149.28,150.62,147.81,150.46,11067741
2020-12-01,151.24,151.3,149.34,150.31,7765829
2020-12-02,149.68,150.29,147.25,148.22,7970889
2020-12-03,147.99,147.99,146.12,147.02,8708432
2020-12-04,147.23,147.23,145.33,146.63,7071185
